"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"var_capital";"var_acoes";"link";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"160";"PB";"PBTUR Hotéis S/A";"ATIVA";"TURISMO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";9821311,65;-891187,97;"SIM";"SIM";"NÃO";17650,65;"Não";1;0;46076,38;0;50494,83;73364,31;0;0;15790670,21;0;0;"https://www.pbtur.pb.gov.br/";"Paraíba";"Nordeste";FALSE;FALSE;-50494,83
"161";"PB";"Empresa Paraibana de Abastecimento e Serviços Agrícolas";"EM LIQUIDAÇÃO";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"EMPRESA PÚBLICA";"Dependente";-11858124,71;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;15820227;0;0;"Não tem";"Paraíba";"Nordeste";FALSE;FALSE;0
"162";"PB";"Empresa Paraibana de Pesquisa. Extensão Rural e Regularização Fundiária";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";1235280,58;714919,25;"SIM";"SIM";"NÃO";280825,49;"Não";937;1008647,97;92099954,57;0;123625670,57;121560125,27;0;0;473250,35;473250,35;0;"https://empaer,pb,gov,br/Sevicos";"Paraíba";"Nordeste";FALSE;FALSE;-123625670,57
"163";"PB";"Companhia Docas da Paraíba";"ATIVA";"PORTOS E HIDROVIAS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";52159890;65851;"SIM";"SIM";"NÃO";226905,55;"Não";101;0;2943274,87;0;0;0;0;0;1085137;0;0;"Não tem";"Paraíba";"Nordeste";FALSE;FALSE;0
"164";"PB";"Companhia de Desenvolvimento da Paraíba";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";37596086,91;23308248,17;"SIM";"SIM";"NÃO";240472,93;"Não";78;621300,78;5259637,42;0;4935372,82;4394926,43;0;0;2e+06;0;0;"Não tem";"Paraíba";"Nordeste";FALSE;FALSE;-4935372,82
"165";"PB";"Companhia de Desenvolvimento de Recursos Minerais da Paraíba";"EM LIQUIDAÇÃO";"MINERAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";73709;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;73709;0;0;"Não tem";"Paraíba";"Nordeste";FALSE;FALSE;0
"166";"PB";"Laboratório Industrial Farmacêutico do Estado da Paraíba S/A";"ATIVA";"SAÚDE";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";213870;-537558,49;"SIM";"SIM";"NÃO";62400;"Não";14;0;589851,64;0;0;0;0;0;201000;0;0;"Não tem";"Paraíba";"Nordeste";FALSE;FALSE;0
"167";"PB";"Companhia Estadual de Habitação Popular";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";28549048,61;360195;"SIM";"SIM";"NÃO";252432;"Não";245;5889942,46;11885405,8;0;22525164;17604888;360830,23;1954213,45;237996459,2;360830,199999988;360831;"Não tem";"Paraíba";"Nordeste";FALSE;FALSE;-22885994,23
"168";"PA";"BANCO DO ESTADO DO PARÁ";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";1638697624,49;241285177,62;"SIM";"SIM";"SIM";345591,63;"Sim";2605;25904916,38;412837032,71;98603680,45;0;0;0;0;1472778726,04;172417306,94;0;"nan";"Pará";"Norte";TRUE;FALSE;98603680,45
"169";"PA";"COMP. ADM. DA ZONA DE PROCESSAMNETO DE EXP. DE BARCARENA";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";24662174,91;36032,5;"SIM";"SIM";"NÃO";0;"Não";0;0;0;0;0;0;0;0;28487875;0;0;"nan";"Pará";"Norte";FALSE;FALSE;0
"170";"PA";"COMP. DE DESENVOLVIMENTO ECONÔMICO DO PARÁ";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";59313914,85;1673398,68;"SIM";"SIM";"NÃO";224420,34;"Não";60;1198803,05;5753909,09;0;4868813,61;5023115,11;0;0;22565720,65;0;0;"https://www,codec,pa,gov,br/wp-content/uploads/2021/06/CARTA-ANUAL-DE-POL%C3%8DTICAS-P%C3%9ABLICAS-FINAL-compactado,pdf";"Pará";"Norte";FALSE;FALSE;-4868813,61
"171";"PA";"COMPANHIA DE SANEAMENTO DO PARÁ";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";641300513,21;125653656,77;"SIM";"SIM";"NÃO";29442,75;"Não";1808;173949225,55;213419761,67;0;0;0;269452714,94;405636903,43;2,3e+09;0;0;"WWW,COSANPA,PA,GOV,BR";"Pará";"Norte";FALSE;FALSE;-269452714,94
"172";"PA";"CENTRAIS DE ABASTECIMENTO DO PARÁ S.A";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";20947626,13;1471626,96;"SIM";"SIM";"SIM";4827150,62;"Não";75;0;4827150,62;0;11033055,23;9578133,45;0;0;3833847,05;0;0;"nan";"Pará";"Norte";TRUE;FALSE;-11033055,23
"173";"PA";"COMPANHIA DE HABITAÇÃO DO ESTADO DO PARÁ";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";115064218,47;353528,77;"SIM";"SIM";"NÃO";328829,15;"Não";301;3884658,87;43404829,53;0;78743133,49;56234838,54;0;0;89804780,66;0;0;"nan";"Pará";"Norte";FALSE;FALSE;-78743133,49
"174";"PA";"COMPANHIA DE PORTOS E HIDROVIAS DO ESTADO DO PARÁ";"ATIVA";"TRANSPORTE";"EMPRESA PÚBLICA";"Dependente";138099269,12;41753006,75;"SIM";"SIM";"SIM";258276;"Não";52;51965870,2;3925793,16;0;61571597,5;27115449,95;0;0;2600000;0;0;"nan";"Pará";"Norte";TRUE;FALSE;-61571597,5
